Wort Deutsch;Wort Pinyin ;Wortart;Satz Pinyin;Satz Deutsch;Wort Hanyu;Satz Hanyu;ID;Lektion
* Lektion 14;*Lektion 14;* Lektion 14;*Lektion 14;*Lektion 14;*Lektion 14;*Lektion 14;L14-1-00;L14
bewölkt;yīn;Adjektiv;;;阴;;L14-1-01;L14
Smog;wùmái;Nomen;;;雾霾;;L14-1-02;L14
Frühling;chūntiān;Nomen;;;春天;;L14-1-03;L14
Grad (Temperatur);dù;Nomen;;;度;;L14-1-04;L14
hinausgehen;chū;Verb;;;出;;L14-1-05;L14
Herbst;qiūtiān;Nomen;;;秋天;;L14-1-06;L14
Jahreszeit;jìjié;Nomen;;;季节;;L14-1-07;L14
kalt;lěng;Adjektiv;;;冷;;L14-1-08;L14
lachen;xiào;Verb;;;笑;;L14-1-09;L14
Temperatur;qìwēn;Nomen;;;气温;;L14-1-10;L14
Regen/es regnet;yǔ/xiàyǔ;Nomen / Verb;;;雨/下雨;;L14-1-11;L14
schweben;piāo;Verb;;;飘;;L14-1-12;L14
fotografieren;zhào;Verb;;;照;;L14-1-13;L14
Schnee/es schneit;xuě/xiàxuě;Nomen / Verb;;;雪/下雪;;L14-1-14;L14
Sommer;xiàtiān;Nomen;;;夏天;;L14-1-15;L14
Sonne;tàiyáng;Nomen;;;太阳;;L14-1-16;L14
heiß;rè;Adjektiv;;;热;;L14-1-17;L14
Wetter;tiānqì;Nomen;;;天气;;L14-1-18;L14
Wind/es weht der Wind;fēng/guāfēng;Nomen / Verb;;;风/刮风;;L14-1-19;L14
Winter;dōngtiān;Nomen;;;冬天;;L14-1-20;L14
Wolke;yún;Nomen;;;云;;L14-1-21;L14
gestern;zuótiān;Nomen;;;昨天;;L14-1-22;L14
gleich;yíyàng;Adverb;;;一样;;L14-1-23;L14
Große Mauer;Chángchéng;Nomen;;;长城;;L14-1-24;L14
heiter;qíng;Adjektiv;;;晴;;L14-1-25;L14
hoch;gāo;Adjektiv;;;高;;L14-1-26;L14
Hainan Insel;Hǎinán Dǎo;Nomen;;;海南岛;;L14-1-27;L14
letztes Jahr;qùnián;Nomen;;;去年;;L14-1-28;L14
unter Null;língxià;Adjektiv;;;零下;;L14-1-29;L14
niedrig;dī;Adjektiv;;;低;;L14-1-30;L14
Norden;běifāng;Nomen;;;北方;;L14-1-31;L14
obwohl... aber...;suīrán... dànshì...;Redewendung;;;虽然···但是···;;L14-1-32;L14
Postkarte;míngxìnpiàn;Nomen;;;明信片;;L14-1-33;L14
reisen;lǚyóu;Verb;;;旅游;;L14-1-34;L14
sich drehen;zhuǎn;Verb;;;转;;L14-1-35;L14
schwer, schlimm;lìhai;Adjektiv;;;厉害;;L14-1-36;L14
Süden;nánfāng;Nomen;;;南方;;L14-1-37;L14
ungefähr, etwa;zuǒyòu;Adverb;;;左右;;L14-1-38;L14
Vorhersage;yùbào;Nomen;;;预报;;L14-1-39;L14
können, werden;huì;Verb;;;会;;L14-1-40;L14
bald...;yào... le;Redewendung;;;要···了;;L14-1-41;L14
wieder, noch;yòu;Adverb;;;又;;L14-1-42;L14
* Lektion 15;*Lektion 15;* Lektion 15;*Lektion 15;*Lektion 15;*Lektion 15;*Lektion 15;L15-1-00;L15
Arm;gēbo;Nomen;;;胳膊;;L15-1-01;L15
Arzt;yīshēng;Nomen;;;医生;;L15-1-02;L15
aufstehen;qǐchuáng;Verb;;;起床;;L15-1-03;L15
Bauch;dùzi;Nomen;;;肚子;;L15-1-04;L15
Bein;tuǐ;Nomen;;;腿;;L15-1-05;L15
Durchfall haben;lādùzi;Verb;;;拉肚子;;L15-1-06;L15
sich übergeben;ǒutù;Verb;;;呕吐;;L15-1-07;L15
Fieber haben;fāshāo;Verb;;;发烧;;L15-1-08;L15
Fuß;jiǎo;Nomen;;;脚;;L15-1-09;L15
Hals, Kehle;sǎngzi;Nomen;;;嗓子;;L15-1-10;L15
Hand;shǒu;Nomen;;;手;;L15-1-11;L15
Taille, Rücken;yāo;Nomen;;;腰;;L15-1-12;L15
husten;késou;Verb;;;咳嗽;;L15-1-13;L15
Knie;xīgài;Nomen;;;膝盖;;L15-1-14;L15
Kopf;tóu;Nomen;;;头;;L15-1-15;L15
Krankheit/krank werden;bìng/shēngbìng;Nomen / Verb;;;病/生病;;L15-1-16;L15
Rücken;bèi;Nomen;;;背;;L15-1-17;L15
schmerzen;téng;Verb;;;疼;;L15-1-18;L15
Schulter;jiānbǎng;Nomen;;;肩膀;;L15-1-19;L15
fühlen;gǎndào;Verb;;;感到;;L15-1-20;L15
bequem, sich wohlfühlen;shūfu;Adjektiv;;;舒服;;L15-1-21;L15
wenig;shǎo;Adjektiv;;;少;;L15-1-22;L15
andere;biéde;Adjektiv;;;别的;;L15-1-23;L15
sich ausruhen;xiūxi;Verb;;;休息;;L15-1-24;L15
erkältet sein;gǎnmào;Verb;;;感冒;;L15-1-25;L15
gerade (machen);zhèngzài/zài;Adverb;;;正在/在;;L15-1-26;L15
gesund werden;huīfù jiànkāng;Verb;;;恢复健康;;L15-1-27;L15
öffnen;kāi;Verb;;;开;;L15-1-28;L15
Kollege;tóngshì;Nomen;;;同事;;L15-1-29;L15
Krankenhaus;yīyuàn;Nomen;;;医院;;L15-1-30;L15
Krankheitsurlaub;bìngjià;Nomen;;;病假;;L15-1-31;L15
Medizin;yào;Nomen;;;药;;L15-1-32;L15
Boden, Ort;dì;Nomen;;;地;;L15-1-33;L15
gegenüber, für;duì;Präposition;;;对;;L15-1-34;L15
schlafen;shuìjiào;Verb;;;睡觉;;L15-1-35;L15
um Urlaub/Krankheit bitten;qǐngjià/qǐngjiàtiáo;Nomen;;;请假/请假条;;L15-1-36;L15
sich entzünden;fāyán;Nomen;;;发炎;;L15-1-37;L15
lassen, zulassen;ràng;Verb;;;让;;L15-1-38;L15
frühzeitig;zǎorì;Adverb;;;早日;;L15-1-39;L15
möglich;kěnéng;Adjektiv;;;可能;;L15-1-40;L15
waschen;xǐ;Verb;;;洗;;L15-1-41;L15
ZEW für längliche Dinge (z.B. Fisch);tiáo/tiáozi;Zählerwort;;;条/条子;;L15-1-42;L15
ZEW für Körner;lì;Zählerwort;;;粒;;L15-1-43;L15
* Lektion 16;*Lektion 16;* Lektion 16;*Lektion 16;*Lektion 16;*Lektion 16;*Lektion 16;L16-1-00;L16
vorbereiten;zhǔnbèi;Verb;;;准备;;L16-1-01;L16
schicken;fā;Verb;;;发;;L16-1-02;L16
bequem, praktisch;fāngbiàn;Adjektiv;;;方便;;L16-1-03;L16
brauchen, benötigen;xūyào;Verb;;;需要;;L16-1-04;L16
Büro;bàngōngshì;Nomen;;;办公室;;L16-1-05;L16
Computer;diànnǎo;Nomen;;;电脑;;L16-1-06;L16
Drucker;dǎyìnjī;Nomen;;;打印机;;L16-1-07;L16
durchgehen;tōngguò;Verb;;;通过;;L16-1-08;L16
E-Mail;diànzǐ yóujiàn;Nomen;;;电子邮件;;L16-1-09;L16
manche;yǒude;Adjektiv;;;有的;;L16-1-10;L16
für;wèi;Präposition;;;为;;L16-1-11;L16
Hallo? (am Telefon);wèi;Interjektion;;;喂;;L16-1-12;L16
Handy;shǒujī;Nomen;;;手机;;L16-1-13;L16
Information, Nachricht;xìnxī;Nomen;;;信息;;L16-1-14;L16
ins Internet gehen;shàngwǎng;Verb;;;上网;;L16-1-15;L16
Internet;hùliánwǎng;Nomen;;;互联网;;L16-1-16;L16
Telefon;diànhuà;Nomen;;;电话;;L16-1-17;L16
telefonieren;dǎ diànhuà;Verb;;;打电话;;L16-1-18;L16
Tisch;zhuōzi;Nomen;;;桌子;;L16-1-19;L16
senden;chuánsòng;Verb;;;传送;;L16-1-20;L16
weil... daher...;yīnwèi... suǒyǐ...;Redewendung;;;因为···所以···;;L16-1-21;L16
Adresse;dìzhǐ;Nomen;;;地址;;L16-1-22;L16
vorbeigehen;guò;Verb;;;过;;L16-1-23;L16
Dokument;wénjiàn;Nomen;;;文件;;L16-1-24;L16
E-Mail-Adresse;diànzǐ yóuxiāng;Nomen;;;电子邮箱;;L16-1-25;L16
Frau;nǚshì;Nomen;;;女士;;L16-1-26;L16
Glück;xìngfú;Nomen;;;幸福;;L16-1-27;L16
Harmonie;héxié;Nomen;;;和谐;;L16-1-28;L16
herunterladen;xiàzǎi;Verb;;;下载;;L16-1-29;L16
während (einer Zeit);zài... qījiān;Präposition;;;在···期间;;L16-1-30;L16
ins Heimatland zurückkehren;huíguó;Verb;;;回国;;L16-1-31;L16
Nachrichten;xīnwén;Nomen;;;新闻;;L16-1-32;L16
nächstes Jahr;míngnián;Nomen;;;明年;;L16-1-33;L16
nicht nur... sondern auch...;bùdàn... érqiě...;Redewendung;;;不但···而且···;;L16-1-34;L16
ordnen;zhěnglǐ;Verb;;;整理;;L16-1-35;L16
danken;gǎnxiè;Verb;;;感谢;;L16-1-36;L16
sich treffen;jiànmiàn;Verb;;;见面;;L16-1-37;L16
übersetzen;fānyì;Verb;;;翻译;;L16-1-38;L16
Werbung;guǎnggào;Nomen;;;广告;;L16-1-39;L16
äußern, anzeigen;biǎoshì;Verb;;;表示;;L16-1-40;L16
kooperieren;hézuò;Nomen;;;合作;;L16-1-41;L16
